"1","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","1","1_photo.jpg"
"2","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","2","2_photo.jpg"
"3","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","3","3_photo.jpg"
"4","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","4","4_photo.jpg"
"5","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","5","5_photo.jpg"
"6","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","6","6_photo.jpg"
"7","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","7","7_photo.jpg"
"8","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","8","8_photo.jpg"
"9","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","9","9_photo.jpg"
"10","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","10","10_photo.jpg"
"11","2013-05-20","Get Together Party","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","1","11_photo.jpg"
"12","2013-05-21","Rock and Roll Night","We would like to invite every body to take part in this party,  per person £50, student discount 10%. Our main guets in this event are Mr. Alpha, Mrs. Bravo, Miss Charlie and Mr. Delta. It will start at 19:30 in the evening and closes around 1am in the morning. Please do not forget to bring this mobile phone to show us if you want to consider for discount. Thank you -- Management Team","2","12_photo.jpg"
